question,answer
شور میم میں اس کو دیکھ لیتی ہوں اور میں آپ کو کمپلیٹ کر کے سینڈ کر دوں گی,ہاں
عمیر آپ ایسا کیجئے گا کہ آپ نے ساری ڈیٹیلز ایک ڈاکومنٹ میں جب بنا لیں گے نا تو شیئر کر دینا,ہاں
 چلیں لائبہ آپ پروڈکٹ کیٹالاگ کا فیچر ڈاکومنٹ میں ایڈ کر لینا ,ہاں
م اویس آپ مجھے نیو ایپلیکنٹس کی سی ویز ناں ایک دفعہ ریویو کروا دیجیے گا نیکسٹ میٹنگ میں,ہاں
پراجیکٹ کے آبجیکٹیوز اور سکوپ کوکل تک ڈیفائن کریں۔,ہاں
مائل سٹونز آپ نے بتائے ہیں نان تو نیکسٹ تک ان کو آپ ایک لسٹ بنا کے سیکوئینس کے اندر وہ آپ ہم سب کے ساتھ ہی شیئر کر دیجیے گا,ہاں
نوٹ کرتے جائیں ان پوائنٹس کو,ہاں
عمار آپ نے این ای ار کو پڑھنا ہے اور اس سے ریلیٹڈ کوڈ ڈھونڈنا ہے,ہاں
پھر مجھے انفارم کریں بوٹل نیکس کے بارے میں,ہاں
نیکسٹ میٹنگ تک آپ لوگ مجھے شیڈول رویو کرکے بتا دیں دین میں اسے فائنل کرو اور ہم اس پر کام شروع  کریں,ہاں
ٹیسٹنگ اور ٹریننگ ڈیٹا کو لینگویسٹس سے ویریفائی کروائیں,ہاں
ان ایک ایسا کرو گروپ میں فارورڈ کر دینا ساری ڈیٹیلز میں بھی پڑھ لوں گا,ہاں
جس میں ہائیلائیٹ کریں گی آپ پروسس جس کے تھرو پرفارمنس اویلوایٹ ہوگی,ہاں
مس یوز سے اوائڈ کرنے کے لیے ڈویلپ سسٹم کی سیکیورٹی کو کل ہی انشور کریں۔,ہاں
ایک یوزر ایکسیپٹینس ٹیسٹنگ پلاننگ سیشن شیڈول ہونا چاہیے کل تک,ہاں
ٹھیک ہے پھر ورکنگ کریں آپ لوگ اس پہ,ہاں
اسامہ آپ نے اسی ویک میں ہی رسییچ کوسیچنز یا ہائیپوتیسس کو فائنل کرنا ہے ,ہاں
ٹھیک ہے اچھا تو پھر یہ والا کام جو آج کی میٹنگ میں نے آپ کو بتا دیا ہے کہ ایک تو آپ لوگوں نے ان کی ایکسل شیٹ ریڈی کر کے مجھے بھیجا کرنی ہے,ہاں
اور ہاں جو اپ کمنگ پراجیکٹ کا بجٹ ڈسکس کرنا تھا آپ نے میرے ساتھ وہ بھی پھر نیکسٹ میٹنگ میں ہی کریں گے انشاءاللہ,ہاں
آپ لوگ اینالائز کریں ریسورس یوٹیلائزیشن کے ٹرینڈز کو,ہاں
آپ سب ایسا کریں کہ ایکسل شیٹ میں یونیک پروڈکٹس کی فائیو فائیو ہنڈرڈ انٹریز کی لسٹ پریپیئر کریں,ہاں
بلکہ م سبحان حذیفہ اینڈ م اسامہ آپ تینوں جائیے گا کمپنی سے ڈفرنٹ سے بات کیجیے گا,ہاں
آپ کمپنی سے ایکسپینسزاور دورانیے کے بارے میں کنفرم کر لیں اور نیکسٹ میٹنگ میں مجھے ان سب کی رپورٹ دیں,ہاں
علی آپ بھی اور ایمان آپ بھی اپنی اپنی ٹیم کا سٹیٹس شئیر کریں گے مجھے,ہاں
اوکے آپ پھر سسٹم کی یونٹ ٹیسٹنگ کمپلیٹ کریں تاکہ پروسیجر نیکسٹ موو کرا سکیں,ہاں
جی تو پھر آپ ایسا کریں کہ ایک سٹیک ہولڈرز کا ڈاکومنٹ بنا لیں تاکہ ہمیں ٹریک ر ہے کہ ہم کسی چیز کو مس نہ کرے,ہاں
اچھا آپ ایسا کریں گی کہ جو جو ریکوائرمنٹس ہم نے اس میٹنگ میں ڈسکس کی ہیں,ہاں
اور نیکسٹ میٹنگ کے لیے ناں وینڈرز کو بھی کال کر کے بلا لیں تو ایک دو پوائنٹس ہیں کلیئر کرنے ہیں ہم لوگوں نے تو وہ بھی ہم ان کے ساتھ کر لیں گے میٹنگ میں ٹھیک ہے,ہاں
آمنہ آپ نے میٹنگ میں ڈیٹیلڈ نوٹس لینے ہیں ,ہاں
اچھا تو اب آپ لوگوں نے کرنا یہ ہے کہ پہلے تو آپ لوگوں نے اپنے اپنے پروونس کی سٹیز  کی لیسٹ بنانی ہے,ہاں
اور آپ احمد سے ملو آج,ہاں
کمنگ ریلیز سے پہلے پہلے عائشہ آپ آئیڈنٹفائیڈ ایشو کو ٹریک اور ریزولو کرنے کے لئے یوزر ایکسپٹنس ٹیسٹنگ فیڈبیک سسٹم کو انشور کروائیں ,ہاں
تو آپ نا ایسا کرنا کہ ایک لسٹ بنانا آپ میٹنگ کے فوراََبعد,ہاں
ٓپ لوگوں نے کل کی میٹنگ کے لیے کچھ ورکنگ پہلے سے کر کے ٓنی ہے اور کچھ سٹینڈرز دیکھ کر ٓنے ہیں,ہاں
 اس کے علاوہ کا شف آپ  نے ایک گروپ بنانا ہے ,ہاں
آپ نے ان کو نوٹ کرتے جانا ہے اور اس کے بعد آپ نے میرے ساتھ سارے ڈسکسڈ پوائنٹس شیئر کرنے ہیں,ہاں
علی آپ نے کل سے انٹرویو کنڈیکٹ کرنے سٹارٹ کرنے ہیں,ہاں
علی آپ نے کوڈ کو ایپ ڈیٹ کرنا ہے اور فائر بیس کی جگہ مونگو ڈی بی یوز کرنی ہے,ہاں
اور منڈے تک مجھے اپ ڈیٹ کریں پروگرس کے بارے میں,ہاں
چلیں ماہین اپ ایسا کیجیے گا کہ اپ ان سب کے ٹاسک ڈیوائڈ کر کے ان کو فارورڈ کر دینا,ہاں
پروپر ٹیسٹنگ کے لیے ایک سٹریٹجی بنائیں اور اسے بھی ٹیم کے ساتھ شئیر کریں,ہاں
احمد ان سب ریکوائرمنٹس کو ڈیفائن کر نے کی رسپانسبلٹی آپ پر ہے,ہاں
اور کل آپ مجھے انفارم کر دیں گے اس بارے میں,ہاں
اور عائشہ یہ آپ نے انشور کرنا ہے کہ اسائنڈ ٹاسکس ٹیم کی ایکسپرٹیز سے میچ ہو رہے ہیں یا نہیں     ,ہاں
ریکورمنٹس کو اگلی میٹنگ تک کیٹیگرائز کریں,ہاں
اور علی آپ ان کو لسٹ ڈاؤن بھی کر کے آؤ گے,ہاں
اچھا لائبہ آپ ان کومیٹنگ کے بعد گائیڈ کر دینا,ہاں
سارا آپ نے ان کی ایک رپورٹ بنا کر لانی ہے,ہاں
اچھا آپ نے جو جو پیکجیز یوزکیے ہیں اس کی ڈاکومنٹیشن آپ نے مجھے پرووائیڈ کرنی ہے,ہاں
یورز کو اپنی آڈیو کو ریکارڈ کرنے اور پروفیشنلز کے ساتھ کمپئر کرنے کے لیے فیچرز کو اسی ہفتے تک ایڈ کریں۔,ہاں
ولی نیکسٹ سپرنٹ کو 29/11/2023 تک اپنی ٹیم سے کمپلیٹ کروائیں,ہاں
اور اسے پریزنٹ بھی کریں گی,ہاں
کر دیجیے گا اور مس انعم کے ساتھ اور بریرہ کے ساتھ بھی وہ شیئر کر دیجیے گا,ہاں
اچھا آپ نے نہ ان کی سی ویز وغیرہ میل کرنی ہے مجھے,ہاں
اس لیے آپ :م: ان کی پروگریس رپورٹ مجھے لازمی شیئر کریں کہ ان کی پریویئس منتھ :م: پریویئس جو بھی منتھس ہیں ان میں کیا ان کی پروگریس رہی ہے,ہاں
م ادروائز میں فاطمہ کو جو ہے وہ م بتا دوں گی تو پھر آپ فاطمہ کو کہہ دیجیے گا کہ وہ انٹرویو وغیرہ ان کے کنڈکٹ کریں تاکہ یہ والا کام بھی جو ہے ناں وہ جلد از جلد ختم ہو ٹھیک ہے,ہاں
اس کے علاوہ آپ نے رپورٹ بنانی ہے,ہاں
ٹریننگ پرپز کے لیے یوزر اورانفیکٹڈ فائلوں کا ڈائیورس ڈیٹاسیٹ اسی ہفتے گیدر کریں۔,ہاں
برئیرہ آپ نے جو فارمٹ یوز کیا ہے آپ اس کو ایک دفا اسلام صاحب کو دیکھا ئیں کہ وہ ٹھیک ہے کہ نہیں,ہاں
اپ نے ان کی ڈاکومنٹیشن اور ان کی پروسیسنگ کی اپڈیٹ بھی مجھے شیئر کرتے رہنا ہے,ہاں
آپ لوگوں نے اس کی ایکشن آئٹمز اور سمری لکھنی ہے,ہاں
میں پھر آپ لوگوں سے آئی گیس اگلے ویک تو پاسیبل نہیں ہو سکے گا لیکن اس سے نیکسٹ ویک ایک فالو اپ میٹ میٹنگ بھی کر لوں گی,ہاں
تو آپ ایسا کرو کہ ایڈمن سے بات کرو,ہاں
اس کے علاوہ آفس گروپ میں بھی شیئر کر دینا,ہاں
عمر آپ نے جب ویب سائیڈ لائو ہو جائے تو آپ نے اس کی ٹیسٹنگ کروانی ہے,ہاں
چلیں ٹھیک ہے پھر میں اس کو پینل کے ساتھ ڈسکس کر کے ناں آپ کو بتاؤں گی,ہاں
کی ہے اس میٹنگ میں ٹھیک ہے اور ہمارا یہ ڈسائیڈ ہوا ہے کہ اب آپ نے اگلے ہفتے جو آپ نے مجھے رپورٹ سینڈ کرنی ہے,ہاں
ہاں جی تو آپ ایچ آر سے سی ویز لیں اور اپنے اینڈ پی الیجیبل کینڈیڈیٹس کے نیمز ماورا کو دیں,ہاں
پیسف آسپیکٹس کو اگلی میٹنگ تک ایکسپلین کریں,ہاں
اور آپ ایسا کرنا کہ ماورا سے کہنا کہ ان کو پیئرز میں کال کر کے بلا لے فائنل انٹرویو کے لیے اور سیلری وغیرہ ڈسکس کر لے,ہاں
ایسا کریے گا کہ اس اپڈیٹڈ کاپی کلائنٹ کو بھی سینڈ کریں اور میرے ساتھ بھی میل بھی شیئر کردیں,ہاں
آپ مجھے ذرا نیکسٹ میٹنگ میں بتائیے گا پتا کر کے کہ وہ لوگ ہمارے ایکوئپمنٹس کب ڈلیور کریں گے,ہاں
صحیح ہے سمی پھر آپ کو یہ ہے کہ کویسچنئیرز اور سروے دونوں کے کویسچننز پریپیئر کرنے ہیں۔ ٹھیک ہے,ہاں
اگر مجھے کوئی چیلنج آنے ہیں تو ویکلی بیسس پہ میں ڈوٓاکومنٹ کو ایپ ڈیٹ کروں گی,ہاں
تو وہ ایکسل شیٹ ریڈی کریں ان پہ ان کے نام وغیرہ کی انٹری کر دیں,ہاں
پھر {سمیع} آپ اس طرح کریں کہ آپ ایک آن لائن فارم فل کروانے کے لیے لائک ایک آن لائن کوئسچنیئر بنا لیں اور مجھے ایک بار دکھا لیں,ہاں
ہاں ٹھیک ہے ایسے ہی کر لیتے ہیں آپ لوگ مجھے ایک آبجیکٹس کی لسٹ بھی دے دینا,ہاں
آپ ان کو بھی انویسٹیگیٹ کریں,ہاں
آپ دونوں مل کے کام کرہ گے اس پہ,ہاں
اچھا آپ مجھے کل تک ایڈ کا ایک سیمپل دکھا دو ایڈٹ کر کے ان ریکوائرمنٹس کے اکارڈنگ,ہاں
چلیں ٹھیک ہے آپ لوگ ریکوائرمنٹ ڈاکومنٹ کو کمپلیٹ کرکے مجھے اپڈیٹ کریں,ہاں
جی آپ ایسا کریں کہ کل تین لوگوں کو کال کریں,ہاں
قمر آپ نے کل سے ڈیٹا سٹرمینگ کو لیکٹ کرنا سٹارٹ کرنا ہے,ہاں
اچھا اب آپ لوگوں نے ڈیٹا کو کلین کرنے کے بعد مجھے چیک کروانا ہے,ہاں
جی اچھا آپ ایسے کرنا آپ اس کو پوائںٹس بتا دینا جو جو ڈسکس ہوئے,ہاں
اچھا یہ ڈیٹیلز آپ کے ساتھ سارا شیئر کریں گی,ہاں
جی اور فائنل رپورٹ جو ہے وہ پھر آپ مجھے م نیکسٹ ویک کے ویک اینڈ پہ سینڈ کر دیجیے گا اور اس سے نیکسٹ میں انٹرویوز وغیرہ میں بھی خود بھی کنڈکٹ کر لوں گی لیکن ٹرائل انٹرویوز آپ لوگ کنڈکٹ کریں گے,ہاں
یہ دیکھو کہ ان میں کونسا پلیٹفارم جاب لسٹنگ فیچر کے لیے اے پی آئیپرووائیڈکر سکتا ہے,ہاں
اچھا آپ مجھے ان کا بجٹ کشف سے ڈسکس کر کے نیکسٹ میٹنگ میں بتائیں گی تاکہ میں سر کو بجٹ ڈیٹیلز فارورڈ کر دوں,ہاں
عائزہ اور دانش آپ دونوں اسی پہ ورکنگ کریں گے,ہاں
چلیں ٹھیک ہے بالکل ایسے ہی کریں آپ اس کے علاوہ جو گوگل ڈرائیو ہے ہمارا جس میں ہم اپنا جو ڈیٹا فیچ کر رہے ہیں ساتھ ساتھ کلیکٹ کرتے جا رہے ہیں وہاں پہ جہاں پہ پلیس کر رہے اس کے ساتھ ہی ناں آپ ایسا کریں {علی حسنین} کہ ایک نیا فولڈر اینوٹیشن کا بنا لیں,ہاں
ریڈ کر کے اس کو آپ اپ ڈیٹ کر لو اور {اسما} آپ نے کیا کرنا ہے کہ اس کو ریڈ کر کے آپ کو جو چیزیں لگیں آپ نے ساتھ ہی ٹھیک کر دینی ہے یہ نہیں کہ {عمار} کا ویٹ کرنا ہے اب {عمار} اس چیز کو ٹھیک کرے گا جو غلطی جہاں ملے,ہاں
آپ کو شش کریں کہ میٹنگ کے بعد ہی جوائنگ لیٹرز ریڈی کر لیں,ہاں
آپ عرفان کو کہہ دینا وہ ٹیسٹ کنڈکٹ کروا لے گا دونوں کے,ہاں
حمد میٹنگ ڈیرائو پہ اپلوڈ کرنی ہیں,ہاں
اچھا یہ بھی جو ہے ناں آپ ایسا کریں کہ {ہاشم} اور آپ مل کر ایسا کر دیں کہ ناں ایک سروے وغیرہ کر لیں کہ ہمیں جو ہے ناں کتنے کی ضرورت ہے اپنے ٹیم جو ہے تو دین پھر جو ہے ناں مجھے بتا دیے گا اتنے ہم کر دیں گے,ہاں
اظہر کی طرف سگنلز کا ایشو ہے تو مجھے آپ میٹنگ کے بعد کر دینا سینڈ,ہاں
:م: سجیشن جو بھی ہو آپ لوگوں کی اس کی مجھے میل پہ :م: یا پھر نیکسٹ میٹنگ میں میرے ساتھ ڈسکس کر لیں ٹھیک ہے,ہاں
کچھ ٹائپ کروا لیجییے گا اردو میں کوئی بھی ڈیٹا اور عمارہ آپ ڈیٹا ریڈی کر کے ناں بریرہ کو م سبمٹ کروا دیجییے گا ایکسل کی کسی شیٹ پہ,ہاں
ٓپ سب کو ٓج کی میٹنگ میں جتنے ٹاسکس اسائن کیے ہیں ان سب کو ٓپ نے نیکسٹ میٹنگ تک ضرور کمپلیٹ کر لینا ہے ,ہاں
آپ لوگوں نے نا کلائنٹ کو میل کرنی ہے کہ وہ کب فری ہے,ہاں
اچھا ڈاکومنٹ جب ریڈی ہو جائیں  تو سر عرفان سے کنفرم کروالینا,ہاں
آپ لوگ پھر اسے فرسٹلی یوز کرلینا,ہاں
اس کے علاوہ علی آپ ٹیم کے ساتھ ملکر ڈپلوئمنٹ کے بعد پرفارمنس اور ایشوز کو ریویو کریں گے اور یہ آپ ۱۳ جون تک کریں      ,ہاں
آپ میں سے کوئی مجھے میٹنگ کے بعد اک میسج کر دے,ہاں
اور کنسرنڈ ٹیم کو ایکوریٹلی کمیونیکیٹ کریں,ہاں
 اچھاآپ لوگ ایسا کریں کہ آپ نا اپنی اپنی سجیشنز پر ڈیٹیلڈ ڈاکومنٹ بنائیں,ہاں
تو آپ ایسا کریں کہ جنہوں نے ٹیسٹ دیا ہوا ہے آپ ذیشان سے ان کی رپورٹ لو اور ان کو جوائننگ کے لیے کال کر دینا,ہاں
اچھا اپ لوگوں کے ساتھ میں ٹو ڈیز کے بعد میٹنگ کروں گا,ہاں
انٹیگریشن ٹیسٹنگ کے لیے بھی ایک روڈ میپ تیار کریں اور اسے ویریفائے کروائیں,ہاں
اس کے لیے آپ سب نے ایک ایک آپشن لے لینا ہے اوراس کو ڈیٹیل میں ایکسپلور کر لینا ہے,ہاں
آپ نے اب ڈیٹا اینوٹیشن کا کام بھی ساتھ ساتھ کرنا ہے اور مجھے رپورٹ کرنا ہے ڈیلی,ہاں
اچھا ارہم اپ نے ڈیلی بیسس پر جیرہ کا ڈیش بورڈ چیک کرنا ہے ,ہاں
مجھے ٹیسٹ اور اویلوئیشن ٹاسکس ذرا میل کر دینا میں ان کو ایک بار گو تھرو کرلوں گا اگر کچھ ایڈیشن کی ضرورت ہوئی تو بتاوں گا,ہاں
یوزرز کو آف لائن اسیس کے لیے ڈیٹا ڈاؤن لوڈ کرنے کا آپشن دیں,ہاں
اور ہر سٹی کے ہرمنتھ کو سیپریٹ سیپریٹ ڈیفائن کرنا ہے,ہاں
اور یہ ڈاکومنٹ بھی آفس گروپ میں شیئر کر دینا,ہاں
م ذیشان صاحب سے کہے کہ ان کی رپورٹ لیں اور ان کو ناں جوائننگ کے لیے کال کر دیں,ہاں
کرنٹ بیسٹ پریکٹسز اور ٹیکنالوجیز کو پرسوں تک آئیڈنٹفائی کریں,ہاں
اچھا تو احمد آپ ڈاکومنٹیشن کو اچھی طرح سے ریویو کر لیجئے گا,ہاں
فاریہ ٓپ یہ انشور کریں گی کہ پراڈکشن کے لیے کمپلیٹ انوائرمنٹ پروپرلی کنفیگر ہو گیاہے اور وہ تمام نیڈز کو پورا کر رہا ہے,ہاں
اچھا علی جو جو چیزیں ہم ڈسکس کریں گے نہ تم انہیں نوٹ کرتے جانا پھر میٹنگ کے بعد تم میرے ساتھ شیئر کر دینا,ہاں
حنظلہ ڈرائیو کا لنک تمام لوگوں کے ساتھ میٹنگ کے فورا بعد شئیر کر دیں,ہاں
علی آپ نے نیکسٹ میٹنگ سے پہلے سسٹم ریکوائرمنٹس کو لسٹ ڈاون کر کے آنا ہے,ہاں
اور آپ میں سے کوئی ساتھ ساتھ یہ پوائنٹ بھی نوٹ کرتا جائے ,ہاں
ٓپ لوگوں نے ٹیسٹنگ کے لیے جو ٹیکنیکس یوز کرنی ہیں ان کی لسٹ بنا لینا اور نیکسٹ میٹنگ میں پھر ہم اس پر ڈسکشن کریں گے,ہاں
جی تو یہ پوائنٹس پھر ایڈ کر لیں ڈاکومنٹ میں,ہاں
احمد جو فیزیبیلیٹی انالیسز کی رپورٹ ہوگی وہ اپ نے ٹیم گروپ میں اپ لوڈ کرنی ہے اس ویک,ہاں
علی آپ نے آئوٹ آف ویوکیب ورڈز کی شیپمنٹ کرنی ہے,ہاں
کلائنٹ سے جا کر ٓج ٓپ ملیں میٹنگ کے بعد اور ان سے بات کریں,ہاں
ڈاکومنٹ جلدی سے جلدی کمپلیٹ کریں,ہاں
گڈ اینڈ  ون مورتھنگ آپ سب نے ایک دوسرے کے اینوٹیٹڈ ڈیٹا کو ریویو بھی کرنا ہے ,ہاں
اور سحر اور ذیشان کو بھی بتاو تاکہ وہ اپنے ٹاسکس ریڈی رکھیں ایڈیشن کرنی ہے وہ یا کچھ ایکسکلیوڈ کرنا ہے تو وہ ٹائم پر کر لیں,ہاں
تو ہم اسی لسٹ میں سے دیکھ لیں گے اور وہ لسٹ ناں پھر آپ ایسا کیجیے گا مس ثناء مس فرح اور م مس سحر کے ساتھ بھی شیئر کیجیے گا مس انعم کے ساتھ بھی اور میرے ساتھ بھی کر دیجیے گا,ہاں
اچھا باقی جو ٹیسٹ کی جو فائلز ہیں ناں :م: وہ آپ جو ہے کمٹ کر لیے گا ساتھ ساتھ اور جو ہے ناں ڈکشنری میں بھی جو ہے ناں ٹیسٹنگ کے بعد آپ :م: جو ہے اپ ڈیٹڈ فائلز جو ہیں وہ بھی کمٹ کر لیے گا اور یہ جو,ہاں
چلیں پھر دونوں کو بلا لینا انٹرویو کرتے ہیں پھر دیکھتے ہیں کیا بنتا ہے,ہاں
اور ایمان آپ نے اس کا خاص خیال رکھنا ہے,ہاں
اس کے بعد اس نے ماڈل یوز کیا ہو گا آپ نے وہ ماڈل بھی دیکھ لینا ہے کہ ماڈل بھی کون سا اس نے یوز کیا ہے اور ساتھ اس کی ایفیشنسی بھی لکھ دینی ہے,ہاں
آج کا ٹاپک یہیں تک تھا آپ اس پر مزید سرچ کر کے انڈرسٹینڈ کریے گا,ہاں
جتنے لیپ ٹاپس کی ریکوائرمنٹ ہے آپ کو وہ آپ کشف کو بتا دینا,ہاں
کون سے پیمنٹ گیٹ ویز چاہیے کیونکہ بہت زیادہ ہو جائیں گے :م: پیمنٹ گیٹ ویز تو :م: پھر ان کے چارجز بھی سیپریٹ ہوتے ہیں,ہاں
اچھا آپ نے یہ کرنا ہے کہ ہمارا پراجیکٹ اینڈ ہونے والا ہے تو آپ نے پراجیکٹ ڈیٹیلز کا ایک ڈاکومنٹ بنانا ہے,ہاں
اور علی پھر کل تک مجھے انفارم کر دیجیے گا,ہاں
اس پروجیکٹ کو کمپلیٹ ہونے میں جتنے اسپرنٹ اور ڈیز کا اکاؤنٹ ہے وہ اج میرے ساتھ شئیر کریں,ہاں
پیشنٹس کو ڈیٹا کی پرائویسی کے ریگارڈنگ ایتھکل کنسرنز کو اگلی سپرنٹ تک ایڈریس کریں۔,ہاں
تو پھر مجھے رپورٹ کیجییے گا میں منڈے کو کہ ان کا کیا کچھ وہ چینج آیا ہے ان میں یا نہیں آیا,ہاں
{حمد} ایسا کریں کہ :م: ٹیم کو الائن کے لیے آپ ایسا کریں کہ آپ موبائل ایپلیکیشن والی سائیڈ کو دیکھ لیں جو ہمارے پاس اینڈورائیڈ ڈویلپرز ہیں اور جو نیو ہائرنگ کرنی ہے سویفٹ ڈویلپرز کی تو,ہاں
آپ لوگوں نے اپنے ڈیٹا میں جتنا ہوسکے اتنے کم آؤٹ لائرز اکر ہونے دینے ہیں اور انہیں مینیمائز کرنے کی ٹرائے کرنے کی,ہاں
خضرا آپ نے کل ای خدمت سے میٹنگ کرنی ہے اور سارے پروجیکٹ کے بارے میں بریف کرنا ہے,ہاں
اب آپ کا یہ ٹاسک ہے کے آپ ان کے جوائنگ لیٹرز ریڈی کر دیں اور کنڈیڈیٹس کو انفارم کر دیں اور نیکسٹ منتھ سے جوائنگ کے لیے بلا کر ڈاکومنٹس کی فارمیلیٹی کمپلیٹ کروالیں اور ساتھ ہی کام کے متعلق سب سمجھادیں,ہاں
ان انیشیئل ڈسکشنز کی بیس پرہائی لیول ریکویئیرمنٹس کو اگلی سپرنٹ تک ڈاکومنٹ کریں۔,ہاں
تو بس آپ میرے ساتھ اور کامران صاحب کے ساتھ شیئر کر دیجیئے گا,ہاں
خضرا آپ نے جب سارے بگز فکس ہو جائیں تو آپ نے دوبارہ سے ان کی ٹیسٹنگ پروفوم کرنی ہے,ہاں
اچھا آپ نے ساتھ ساتھ پوائنٹس کو نوٹ بھی کرنا ہے ,ہاں
ریکورمنٹس کو بہتر بنانے کے لیے پروٹوٹائپس پر اسٹیک ہولڈرز سے فیڈبیک کو اسی مہینے میں کولیکٹ کریں۔,ہاں
ماڈل کی ٹڑیننگ اور ٹیسٹنگ کو 12 اکتوبر تک پورا کریں تاکہ ٓگے ٹیسٹنگ کا فیز سٹارٹ کیا جائے,ہاں
اچھا ارحم اپ پروجیکٹ کی ٹائم لائن بنائیں جس میں مائل اسٹونز اور ڈیڈ لائنز منشن ہوں     ,ہاں
پروجیکٹ اور فیوچر ریکمینڈیشن کے لیے کل تک ایک رپورٹ بنائیں۔,ہاں
ہاں تو اب آپ سر سے کہہ دیجیے گا کہ وہ آرڈر پروسس کر دیں,ہاں
اب آپ ایسا کریں کہ کسی اور کمپنی کو آرڈر دے دیں,ہاں
آپ لوگ اس پر ہوم ورک کرکے آئیں کہ ہمیں اپنے پراجیکٹ کے لحاظ سے ڈیٹا کلیننگ کے لیے کونسی کونسی اپروچ یوز کرنی چاہیے,ہاں
پلیز میک دا نثیثری اپڈیٹس ٹو دی ڈاکومنٹ بیسڈ اون ٹوڈیز ڈسکشن,ہاں
تو ایک تو ہمیں یہ فرق بھی پتہ چل جائے گا اور اس کے علاوہ ناں آپ نے مالویئر کی جو ڈفرنٹ کیٹیگریز ہے ناں :م: آپ نے اس کو ایکسپلور کر اس کو ایکسپلور کر لینا ہے اور اس کے حساب سے آپ نے ٹیگز اور لیبلز بھی ایڈ کرنے ہیں ڈاکومنٹس میں,ہاں
اور ایکشن آئٹمز ڈیسائیڈ کرنے کےلیے کیا کیا فیچرز استعمال ہوتے ہیں م یہ پیپرز آپ نے پڑھنے ہیں اویس اور آپ نے پھر مائرہ کو بھی بتانا ہے,ہاں
کل تک آپ لوگوں نے مجھے اپنی ٹیم کے رولز سینڈ کرنے ہیں,ہاں
اچھا اور آپ نیکسٹ میٹنگ میں ان اسٹریٹجیز پر بریفنگ بھی دو گے,ہاں
آپ لوگ نے جو ڈاکومنٹ انہیں میل کیا تھا وہ میرے ساتھ بھی نیکسٹ میٹنگ تک شیئر کردیں,ہاں
سمیع ہمارے سسٹم کی پرفارمنس کو ریویو کریں,ہاں
ہاں چلیں ٹھیک ہے پھر آپ بات کریں انفارم کریں مجھے پھر دیکھتے ہیں کہ ایک دو دن تک میٹنگ کال وغیرہ کریں ان کو اور پھر مجھے بتائیں کہ کیا رسپانس آتا ہے ان کا,ہاں
ٹھیک ہے تو یہ کچھ :م: ٹاسک ہیں اور اس کو آپ :م: اپنے پلان کے اندر ڈال دیں اور :م: جو میرے خیال میں ریسنٹ والا تو شاید یہ ایس آر ٹی والا کام {اویس} کو کرنا ہے,ہاں
اور اس کے علاوہ جو ہماری ریکوائرمنٹس فائنلائز ہو گئی تھی وہ بھی میں نے آپ کو میل کر دی تھی ڈاکومنٹ پریپیئر کر کے آپ پلیز وہ بھی ریویو کر لیجیئے گا,ہاں
اب آپ ایسا کریں کہ فنانس ڈیپارٹمنٹ کو ایک نیا لیٹر ایشو کریں اور ایڈوانس پے کرکے نیا ٹینڈر تیار کریں,ہاں
بلکہ بلکہ آپ ایک کام کرو ناں آپ پہلے تیمور صاحب کو بھی کال کرنا اور ان کو بتانا کہ منڈے کو آپ نے فائنل انٹرویو جو ہے وہ سکیجوئل کیا ہوا ہے,ہاں
اچھا ارم آپ نے اگلے ہفتے تک دیکھ کر آنا ہے کہ ریگریشن اور یونٹ ٹیسٹنگ کو آٹومیٹ کرنے کے لیے کونسے ٹولز یوز ہو سکتے ہیں  ,ہاں
علی آپ نے کل تک ان سب کو کیلک اپ کا لینک پروائیڈ کردینا ہے,ہاں
ٹھیک ہے پھر اسماء آپ لیٹر بنا لیں اور آج رات تک آپ نے یہ کام کرنا ہے ,ہاں
:م: اس سے پہلے آپ لوگوں کی میں کوشش کرتی ہوں کہ نیکسٹ ویک میں ہی ایک سٹیک ہولڈر میٹنگ کروا دوں تاکہ آپ لوگوں کو کلیئرلی زیادہ آئیڈیا ہو جائے کہ کس کس طرح سے آپ نے اس پروجیکٹ کو لے کے چلنا ہے,ہاں
پھر آپ لوگ اس کے اکارڈنگ ریکوائرمنٹس ڈاکومنٹ کو کمپلیٹ کریں,ہاں
سمیع آپ نے ایک کمپلیٹ سمری تیار کرنی ہے کہ ہم کس طرح  بلاک چین ٹیکنالوجی یوز کرتے ہوئے کاؤنٹرفیٹ پروڈکٹس کی آئیڈنٹیفیکیشن کر سکتے ہیں,ہاں
:م: جو سسٹم کو ان فیوچر جس جس طرح سے ہم نے سکیلیبل :م: بنایا جا سکتا ہے اسے یہ وہ ساری چیزیں ہیں ناں آپ :م: ایک ڈاکومنٹ میں ایڈ کر کر لیجیے گا اور نیکسٹ میٹنگ تک یہ آپ کام کر لیجیے گا,ہاں
فاروق آپ نے کل جو پیج بنایا تھا اس میں تھوڑا سا ایشو آریا ہے آپ نے اس کو اسی ویک کے اندر ٹھیک کرنا ہے,ہاں
حنا آپ ٹیم کو ٹاسک اسائن کریں جن میں اینکرپشن پروٹوکولز یوزر اتھینٹیکیشن اور اتوارائزیشن میکینزمز کو انٹیگریٹ کرنا شامل ہو گا,ہاں
آپ پھر کویسچنز پریپیئر کر لیں اور مجھے پھر ایک دفع دکھا دیں ,ہاں
